Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2213.34	15288	
2214.95	15522	
2216.56	15858	
2218.17	15757	
2219.79	15817	
2221.4	15841	
2223.01	16113	
2224.62	16290	
2226.23	16375	
2227.84	16314	
2229.44	16768	
2231.05	16679	
2232.66	17209	
2234.26	17038	
2235.86	17393	
2237.47	17527	
2239.07	17609	
2240.67	17833	
2242.28	18023	
2243.88	18550	
2245.48	18361	
2247.07	18590	
2248.67	18623	
2250.27	19309	
2251.87	19321	
2253.47	19433	
2255.06	20011	
2256.65	20259	
2258.25	19938	
2259.84	20309	
2261.44	20222	
2263.03	20511	
2264.62	20946	
2266.21	21394	
2267.8	20853	
2269.39	21784	
2270.98	21464	
2272.56	21844	
2274.15	22187	
2275.74	22406	
2277.32	22930	
2278.9	22771	
2280.49	22858	
2282.07	23067	
2283.66	23359	
2285.24	23690	
2286.82	23983	
2288.4	23762	
2289.98	24252	
2291.56	24566	
2293.14	24863	
2294.71	25160	
2296.29	25277	
2297.86	25513	
2299.44	25427	
2301.01	26110	
2302.59	26402	
2304.16	26744	
2305.73	26942	
2307.3	27203	
2308.87	27491	
2310.45	27580	
2312.01	28062	
2313.58	28424	
2315.15	28516	
2316.72	29213	
2318.28	29296	
2319.85	29646	
2321.41	30130	
2322.98	30057	
2324.54	30666	
2326.1	30901	
2327.67	31169	
2329.23	31738	
2330.79	32201	
2332.35	32412	
2333.91	32707	
2335.47	33273	
2337.02	33143	
2338.58	33693	
2340.14	33732	
2341.69	34347	
2343.25	34611	
2344.8	35092	
2346.35	35051	
2347.91	35271	
2349.46	35768	
2351.01	36139	
2352.56	36700	
2354.11	36932	
2355.66	36181	
2357.21	37451	
2358.76	37272	
2360.3	37583	
2361.85	37678	
2363.4	38230	
2364.94	38294	
2366.48	38385	
2368.03	38655	
2369.57	38952	
2371.11	39205	
2372.65	39320	
2374.19	40067	
2375.73	39908	
2377.27	40622	
2378.81	40666	
2380.35	40806	
2381.88	41024	
2383.42	41032	
2384.95	41024	
2386.49	41653	
2388.03	41598	
2389.56	41002	
2391.09	41743	
2392.62	41992	
2394.16	42494	
2395.68	42287	
2397.21	42784	
2398.74	42307	
2400.27	42051	
2401.8	42861	
2403.32	42824	
2404.85	43020	
2406.38	43309	
2407.9	43053	
2409.42	42925	
2410.95	43274	
2412.47	42941	
2414	43454	
2415.52	43520	
2417.04	43314	
2418.56	43336	
2420.08	42871	
2421.59	43008	
2423.11	43414	
2424.63	43254	
2426.15	42918	
2427.66	43102	
2429.17	42340	
2430.69	43038	
2432.2	43003	
2433.71	42726	
2435.23	42749	
2436.74	42957	
2438.25	42855	
2439.76	42518	
2441.27	42841	
2442.78	42151	
2444.29	42143	
2445.79	42342	
2447.3	42395	
2448.8	42164	
2450.31	42037	
2451.81	41416	
2453.32	41233	
2454.82	40996	
2456.32	40734	
2457.82	40713	
2459.32	40490	
2460.82	40186	
2462.32	39710	
2463.82	39926	
2465.32	39311	
2466.82	39508	
2468.32	38911	
2469.81	38958	
2471.31	38705	
2472.8	38713	
2474.29	38844	
2475.79	38754	
2477.28	38417	
2478.77	38181	
2480.26	37836	
2481.75	38115	
2483.24	37559	
2484.73	37877	
2486.22	37323	
2487.71	37725	
2489.19	37506	
2490.68	36954	
2492.16	37294	
2493.65	36982	
2495.13	36485	
2496.62	36710	
2498.1	36401	
2499.58	36056	
2501.06	36197	
2502.54	36041	
2504.02	35977	
2505.5	36068	
2506.98	35974	
2508.46	35805	
2509.94	35340	
2511.41	34983	
2512.89	35118	
2514.36	35046	
2515.84	35032	
2517.31	35095	
2518.78	34754	
2520.26	34962	
2521.73	34649	
2523.2	34395	
2524.67	33917	
2526.14	33922	
2527.61	34015	
2529.07	34106	
2530.54	33901	
2532.01	33601	
2533.48	33171	
2534.94	33764	
2536.41	33203	
2537.87	33131	
2539.33	33145	
2540.79	32966	
2542.26	33080	
2543.72	32745	
2545.18	32815	
2546.64	32908	
2548.1	32629	
2549.56	32467	
2551.01	32364	
2552.47	32280	
2553.93	32368	
2555.38	32169	
2556.84	31893	
2558.29	31981	
2559.75	31800	
2561.2	31611	
2562.65	31379	
2564.1	31386	
2565.56	31107	
2567	30893	
2568.46	30822	
2569.9	31406	
2571.35	30691	
2572.8	31115	
2574.25	30599	
2575.69	30304	
2577.14	30409	
2578.58	30422	
2580.03	30360	
2581.47	30082	
2582.91	29952	
2584.35	30171	
2585.8	29713	
2587.24	29867	
2588.68	29425	
2590.12	29561	
2591.56	29829	
2592.99	29256	
2594.43	29200	
2595.87	29372	
2597.3	29064	
2598.74	29230	
2600.17	29432	
2601.61	28743	
2603.04	29324	
2604.47	29187	
2605.9	29281	
2607.34	28843	
2608.77	28380	
2610.2	28729	
2611.63	28892	
2613.05	28593	
2614.48	28550	
2615.91	28881	
2617.34	28707	
2618.76	28607	
2620.19	28396	
2621.61	28120	
2623.03	28150	
2624.46	28079	
2625.88	28239	
2627.3	28261	
2628.72	28164	
2630.14	28160	
2631.56	28068	
2632.98	27949	
2634.4	28298	
2635.82	28331	
2637.24	27776	
2638.65	28019	
2640.07	27941	
2641.48	27676	
2642.9	28169	
2644.31	28121	
2645.72	27855	
2647.14	27513	
2648.55	27924	
2649.96	27975	
2651.37	28059	
2652.78	27991	
2654.19	27833	
2655.6	27719	
2657	27757	
2658.41	27861	
2659.82	27439	
2661.22	27937	
2662.63	27533	
2664.03	27623	
2665.44	28214	
2666.84	27369	
2668.24	28403	
2669.64	27667	
2671.04	27670	
2672.45	27798	
2673.84	28174	
2675.24	27468	
2676.64	27785	
2678.04	27700	
2679.44	27535	
2680.83	27496	
2682.23	28106	
2683.62	27951	
2685.02	27174	
2686.41	27812	
2687.8	27294	
2689.2	27230	
2690.59	27322	
2691.98	27176	
2693.37	27348	
2694.76	27410	
2696.15	27263	
2697.54	27254	
2698.92	27250	
2700.31	27203	
2701.7	26939	
2703.08	27251	
2704.47	27005	
2705.85	26824	
2707.24	27007	
2708.62	27196	
2710	27165	
2711.38	26865	
2712.77	27138	
2714.14	27232	
