Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2888.07	242	
2889.36	237	
2890.66	240	
2891.95	243	
2893.24	260	
2894.54	267	
2895.83	267	
2897.12	271	
2898.42	287	
2899.71	280	
2901	291	
2902.28	292	
2903.58	315	
2904.86	325	
2906.15	335	
2907.44	324	
2908.72	308	
2910.01	310	
2911.29	288	
2912.58	252	
2913.86	253	
2915.15	245	
2916.43	262	
2917.71	276	
2918.99	276	
2920.27	278	
2921.55	281	
2922.83	298	
2924.11	293	
2925.39	291	
2926.67	304	
2927.94	292	
2929.22	297	
2930.5	293	
2931.77	288	
2933.05	283	
2934.32	268	
2935.59	261	
2936.87	262	
2938.14	266	
2939.41	286	
2940.68	273	
2941.95	275	
2943.22	270	
2944.49	273	
2945.76	263	
2947.02	260	
2948.29	262	
2949.56	266	
2950.82	266	
2952.09	269	
2953.35	259	
2954.62	267	
2955.88	263	
2957.14	258	
2958.4	266	
2959.67	276	
2960.93	270	
2962.19	260	
2963.45	247	
2964.71	243	
2965.96	238	
2967.22	249	
2968.48	239	
2969.74	245	
2970.99	263	
2972.25	269	
2973.5	266	
2974.75	263	
2976.01	248	
2977.26	243	
2978.51	233	
2979.76	243	
2981.02	241	
2982.26	247	
2983.52	247	
2984.76	260	
2986.01	270	
2987.26	269	
2988.51	267	
2989.75	269	
2991	266	
2992.24	273	
2993.49	263	
2994.73	239	
2995.98	224	
2997.22	228	
2998.46	236	
2999.7	225	
3000.94	236	
3002.18	238	
3003.42	243	
3004.66	261	
3005.9	267	
3007.14	258	
3008.38	262	
3009.61	253	
3010.85	254	
3012.09	250	
3013.32	234	
3014.56	225	
3015.79	221	
3017.02	223	
3018.25	221	
3019.49	216	
3020.72	221	
3021.95	210	
3023.18	215	
3024.41	227	
3025.64	219	
3026.86	238	
3028.09	236	
3029.32	230	
3030.54	224	
3031.77	213	
3032.99	218	
3034.22	218	
3035.44	224	
3036.67	220	
3037.89	229	
3039.11	236	
3040.33	220	
3041.55	210	
3042.77	202	
3043.99	191	
3045.21	202	
3046.43	214	
3047.65	223	
3048.87	219	
3050.08	225	
3051.3	221	
3052.51	211	
3053.73	208	
3054.94	214	
3056.16	216	
3057.37	223	
3058.58	240	
3059.79	240	
3061	234	
3062.21	239	
3063.42	243	
3064.63	241	
3065.84	237	
3067.05	236	
3068.26	217	
3069.46	204	
3070.67	205	
3071.87	190	
3073.08	192	
3074.28	201	
3075.49	207	
3076.69	218	
3077.89	226	
3079.1	233	
3080.3	236	
3081.5	230	
3082.7	245	
3083.9	240	
3085.1	249	
3086.3	236	
3087.49	244	
3088.69	243	
3089.89	235	
3091.08	245	
3092.28	237	
3093.47	217	
3094.67	223	
3095.86	214	
3097.05	213	
3098.25	216	
3099.44	226	
