Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2628.72	27964	
2630.14	28163	
2631.56	27954	
2632.98	27864	
2634.4	27906	
2635.82	28159	
2637.24	27971	
2638.65	27916	
2640.07	27937	
2641.48	27714	
2642.9	27671	
2644.31	27810	
2645.72	27777	
2647.14	27749	
2648.55	27714	
2649.96	27943	
2651.37	27858	
2652.78	27538	
2654.19	27811	
2655.6	27780	
2657	27641	
2658.41	27912	
2659.82	27860	
2661.22	27705	
2662.63	27671	
2664.03	27474	
2665.44	27863	
2666.84	27353	
2668.24	27451	
2669.64	27716	
2671.04	27502	
2672.45	27793	
2673.84	27765	
2675.24	27341	
2676.64	27407	
2678.04	27538	
2679.44	27322	
2680.83	27496	
2682.23	27561	
2683.62	27230	
2685.02	27354	
2686.41	27012	
2687.8	27389	
2689.2	27465	
2690.59	27314	
2691.98	27044	
2693.37	27305	
2694.76	27360	
2696.15	27118	
2697.54	27264	
2698.92	27127	
2700.31	27229	
2701.7	26995	
2703.08	27076	
2704.47	27091	
2705.85	27087	
2707.24	27050	
2708.62	27191	
2710	27185	
2711.38	26773	
2712.77	27071	
2714.14	27066	
2715.53	26832	
2716.9	26919	
2718.28	27473	
2719.66	26921	
2721.04	27200	
2722.41	27017	
2723.79	27372	
2725.16	27056	
2726.54	27060	
2727.91	27179	
2729.29	27459	
2730.66	26903	
2732.03	27133	
2733.4	27193	
2734.77	27452	
2736.14	27078	
2737.51	26976	
2738.88	27052	
2740.25	27122	
2741.62	27063	
2742.98	27016	
2744.35	27125	
2745.71	27187	
2747.08	27212	
2748.44	26917	
2749.81	27083	
2751.17	27071	
2752.53	26984	
2753.89	27005	
2755.25	26630	
2756.61	26775	
2757.97	26827	
2759.33	26817	
2760.69	26469	
2762.05	26138	
2763.41	26706	
2764.76	26489	
2766.12	26241	
2767.47	26521	
2768.83	26666	
2770.18	26806	
2771.53	26867	
2772.88	26810	
2774.24	26531	
2775.59	26908	
2776.94	26842	
2778.29	27072	
2779.63	26460	
2780.98	26943	
2782.33	26957	
2783.68	26818	
2785.03	26701	
2786.37	26463	
2787.72	26566	
2789.06	26523	
2790.41	26480	
2791.75	26485	
2793.09	26739	
2794.43	26614	
2795.77	26855	
2797.11	26647	
2798.45	26615	
2799.79	26707	
2801.13	26884	
2802.47	26774	
2803.81	27073	
2805.14	26811	
2806.48	26662	
2807.82	26983	
2809.15	27054	
2810.48	26607	
2811.82	26997	
2813.15	27140	
2814.48	26932	
2815.81	26674	
2817.14	27098	
2818.48	26914	
2819.8	26721	
2821.13	27063	
2822.46	26774	
2823.79	27208	
2825.12	26904	
2826.44	27258	
2827.77	27019	
2829.09	26558	
2830.42	26813	
2831.74	26961	
2833.07	27024	
2834.39	27021	
2835.71	27086	
2837.03	27132	
2838.35	27179	
2839.67	26771	
2840.99	27066	
2842.31	26856	
2843.63	26701	
2844.95	27203	
2846.26	26952	
2847.58	26568	
2848.89	27355	
2850.21	27027	
2851.52	27058	
2852.84	26939	
2854.15	27145	
2855.46	27454	
2856.78	26809	
2858.09	27056	
2859.4	27293	
2860.71	27210	
2862.02	27496	
2863.32	27494	
2864.63	27607	
2865.94	27530	
2867.25	27560	
2868.55	27929	
2869.86	27696	
2871.16	28049	
2872.47	27920	
2873.77	27741	
2875.07	27790	
2876.37	27541	
2877.68	28154	
