17/8/2023
5:01 pm
Raman shift	Intensity
cm-1	Counts
1636.061953	362.521260
1637.937766	358.968312
1639.813169	366.049612
1641.689958	374.375837
1643.560951	371.146567
1645.435125	374.431023
1647.305301	373.746044
1649.178657	373.960199
1651.049810	385.668703
1652.918761	374.785937
1654.789098	356.586130
1656.655441	344.909416
1658.523170	339.738920
1660.388701	317.885888
1662.255616	302.268203
1664.118543	276.122586
1665.982855	254.530435
1667.844971	244.483855
1669.706683	229.933301
1671.569779	224.629766
1673.430681	217.345559
1675.289389	225.442118
1677.147694	226.701978
1679.007384	235.011531
1680.861307	239.381195
1682.718402	246.574819
1684.575095	257.417315
1686.427812	254.888469
1688.283699	249.736754
1690.135613	227.726796
1691.987126	212.210538
1693.838238	197.939434
1695.688950	188.295049
1697.539261	171.912723
1699.387388	146.358987
1701.236898	119.466768
1703.080660	110.980887
1704.929371	95.868891
1706.772337	78.232988
1708.618468	61.141263
1710.460638	34.812147
1712.305972	16.989394
1714.145566	8.012299
1715.986544	0.000000
1717.828905	0.000000
1719.667310	0.000000
1721.507098	0.000000
1723.344711	0.000000
1725.181928	0.000000
1727.016972	0.000000
1728.853399	0.000000
1730.687654	0.000000
1732.521514	0.000000
1734.354981	0.000000
1736.184501	0.000000
1738.017180	0.000000
1739.845915	0.000000
1741.677808	0.000000
1743.505758	0.000000
1745.333316	0.000000
1747.160482	0.000000
1748.987257	0.000000
1750.813641	0.000000
1752.636087	0.000000
1754.461689	0.000000
1756.283356	0.000000
1758.106405	0.000000
1759.927292	0.000000
1761.747791	0.000000
1763.569671	0.000000
1765.385851	0.000000
1767.205183	0.000000
1769.020588	0.000000
1770.839143	0.000000
1772.653773	0.000000
1774.468017	0.000000
1776.281873	0.000000
1778.095343	0.000000
1779.906660	0.000000
1781.719358	0.000000
1783.531669	0.000000
1785.340063	0.000000
1787.149837	0.000000
1788.955697	0.000000
1790.764702	0.000000
1792.569794	0.000000
1794.376267	0.000000
1796.182356	0.000000
1797.984535	0.000000
1799.789857	0.000000
1801.591271	0.000000
1803.394065	0.000000
1805.192953	0.000000
1806.993222	0.000000
1808.793109	0.000000
1810.590855	0.000000
1812.388219	0.000000
1814.185204	0.000000
1815.981808	0.000000
1817.776273	0.000000
1819.572117	0.000000
1821.362307	0.000000
1823.157392	0.000000
1824.946826	0.000000
1826.739396	0.000000
1828.529831	0.000000
1830.318132	0.000000
